,dataset,date_captured,file_name,height,id,license,width,json_idx,is_eval
0,small object electronic device,,800650_592.jpg,2100,0,,2800,0,True
1,small object electronic device,,847211_592.jpg,2100,1,,2800,0,False
2,small object electronic device,,823809_592.jpg,2100,2,,2800,0,False
3,small object electronic device,,822878_592.jpg,2100,3,,2800,0,False
4,small object electronic device,,806865_592.jpg,2100,4,,2800,0,False
5,small object electronic device,,873622_592.jpg,2100,5,,2800,0,True
6,small object electronic device,,822886_592.jpg,2100,6,,2800,0,False
7,small object electronic device,,814181_592.jpg,2100,7,,2800,0,False
8,small object electronic device,,814226_592.jpg,2100,8,,2800,0,False
9,small object electronic device,,831465_592.jpg,2100,9,,2800,0,False
10,small object electronic device,,806671_592.jpg,2100,10,,2800,0,True
11,small object electronic device,,815609_592.jpg,2100,11,,2800,0,False
12,small object electronic device,,801760_592.jpg,2100,12,,2800,0,False
13,small object electronic device,,873646_592.jpg,2100,13,,2800,0,False
14,small object electronic device,,821806_592.jpg,2100,14,,2800,0,False
15,small object electronic device,,795577_592.jpg,2100,15,,2800,0,True
16,small object electronic device,,831928_592.jpg,2100,16,,2800,0,False
17,small object electronic device,,812943_592.jpg,2100,17,,2800,0,False
18,small object electronic device,,901053_592.jpg,2100,18,,2800,0,False
19,small object electronic device,,814257_592.jpg,2100,19,,2800,0,False
20,small object electronic device,,829713_592.jpg,2100,20,,2800,0,True
21,small object electronic device,,802666_592.jpg,2100,21,,2800,0,False
22,small object electronic device,,831638_592.jpg,2100,22,,2800,0,False
23,small object electronic device,,853313_592.jpg,2100,23,,2800,0,False
24,small object electronic device,,816318_592.jpg,2100,24,,2800,0,False
25,small object electronic device,,861330_592.jpg,2100,25,,2800,0,True
26,small object electronic device,,795962_592.jpg,2100,26,,2800,0,False
27,small object electronic device,,821471_592.jpg,2100,27,,2800,0,False
28,small object electronic device,,798929_592.jpg,2100,28,,2800,0,False
29,small object electronic device,,822802_592.jpg,2100,29,,2800,0,False
30,small object electronic device,,818924_592.jpg,2100,30,,2800,0,True
31,small object electronic device,,812632_592.jpg,2100,31,,2800,0,False
32,small object electronic device,,831698_592.jpg,2100,32,,2800,0,False
33,small object electronic device,,836747_592.jpg,2100,33,,2800,0,False
34,small object electronic device,,882641_592.jpg,2100,34,,2800,0,False
35,small object electronic device,,858347_592.jpg,2100,35,,2800,0,True
36,small object electronic device,,877448_592.jpg,2100,36,,2800,0,False
37,small object electronic device,,800655_592.jpg,2100,37,,2800,0,False
38,small object electronic device,,822232_592.jpg,2100,38,,2800,0,False
39,small object electronic device,,802754_592.jpg,2100,39,,2800,0,False
40,small object electronic device,,809007_592.jpg,2100,40,,2800,0,True
41,small object electronic device,,874015_592.jpg,2100,41,,2800,0,False
42,small object electronic device,,840579_592.jpg,2100,42,,2800,0,False
43,small object electronic device,,798660_592.jpg,2100,43,,2800,0,False
44,small object electronic device,,813948_592.jpg,2100,44,,2800,0,False
45,small object electronic device,,801107_592.jpg,2100,45,,2800,0,True
46,small object electronic device,,829675_592.jpg,2100,46,,2800,0,False
47,small object electronic device,,814302_592.jpg,2100,47,,2800,0,False
48,small object electronic device,,816438_592.jpg,2100,48,,2800,0,False
49,small object electronic device,,802258_592.jpg,2100,49,,2800,0,False
50,small object electronic device,,836417_592.jpg,2100,50,,2800,0,True
51,small object electronic device,,861334_592.jpg,2100,51,,2800,0,False
52,small object electronic device,,818135_592.jpg,2100,52,,2800,0,False
53,small object electronic device,,831845_592.jpg,2100,53,,2800,0,False
54,small object electronic device,,894687_592.jpg,2100,54,,2800,0,False
55,small object electronic device,,810345_592.jpg,2100,55,,2800,0,True
